"Table 2. Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,,Percent Change (2018 to 2021),,,,,,,,,,,Percent Change (2021 to 2023),,,,,,,,,,
,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,238.75,109.35,130.30,147.06,168.84,188.32,215.88,246.71,284.38,351.36,544.99,228.80,103.89,129.87,146.89,166.64,184.15,207.93,235.88,271.78,329.12,511.75,258.05,127.86,154.68,172.49,195.60,216.19,239.51,266.23,303.90,358.34,545.66,-4.2,-5.0,-0.3,-0.1,-1.3,-2.2,-3.7,-4.4,-4.4,-6.3,-6.1,12.8,23.1,19.1,17.4,17.4,17.4,15.2,12.9,11.8,8.9,6.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL CAPITAL REGION,368.68,211.79,244.51,274.80,294.48,314.81,336.48,377.25,410.79,488.51,733.32,321.59,196.56,225.67,248.50,266.90,287.21,296.45,323.55,359.14,390.38,621.21,385.05,246.21,283.63,297.26,315.47,335.72,359.66,387.40,412.75,454.03,758.27,-12.8,-7.2,-7.7,-9.6,-9.4,-8.8,-11.9,-14.2,-12.6,-20.1,-15.3,19.7,25.3,25.7,19.6,18.2,16.9,21.3,19.7,14.9,16.3,22.1
NCR I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Manila,363.35,210.63,257.06,298.31,332.43,318.04,351.25,381.29,396.28,467.69,620.27,362.27,262.41,278.44,297.22,326.82,339.39,341.63,382.46,398.47,433.46,561.79,390.20,247.81,311.55,333.88,350.98,354.26,367.82,410.02,457.97,440.18,626.00,-0.3,24.6,8.3,-0.4,-1.7,6.7,-2.7,0.3,0.6,-7.3,-9.4,7.7,-5.6,11.9,12.3,7.4,4.4,7.7,7.2,14.9,1.6,11.4
NCR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Mandaluyong,475.56,240.18,290.67,306.74,346.10,358.63,401.89,447.11,508.07,721.64,"1,135.23",414.05,315.03,314.73,320.32,358.26,360.92,392.62,393.59,473.63,478.23,731.83,508.19,334.33,358.76,412.48,405.51,411.38,443.83,475.72,622.62,655.89,958.54,-12.9,31.2,8.3,4.4,3.5,0.6,-2.3,-12.0,-6.8,-33.7,-35.5,22.7,6.1,14.0,28.8,13.2,14.0,13.0,20.9,31.5,37.2,31.0
City of San Juan,478.65,231.83,321.04,298.30,346.40,401.14,392.33,496.81,468.05,623.98,"1,203.78",475.18,318.80,317.92,402.80,366.09,464.96,376.27,515.04,483.61,615.07,885.85,648.78,321.19,426.15,450.91,424.35,501.72,527.50,674.31,645.79,1079.83,1313.91,-0.7,37.5,-1.0,35.0,5.7,15.9,-4.1,3.7,3.3,-1.4,-26.4,36.5,0.8,34.0,11.9,15.9,7.9,40.2,30.9,33.5,75.6,48.3
Quezon City,390.51,235.65,255.66,271.44,299.43,314.32,345.20,408.08,459.40,562.21,750.74,322.77,203.12,218.21,251.82,259.14,292.05,275.86,318.65,351.41,377.85,678.57,392.13,260.54,292.62,283.22,317.60,334.11,343.35,396.48,429.49,461.43,799.63,-17.4,-13.8,-14.7,-7.2,-13.5,-7.1,-20.1,-21.9,-23.5,-32.8,-9.6,21.5,28.3,34.1,12.5,22.6,14.4,24.5,24.4,22.2,22.1,17.8
City of Marikina,392.76,211.43,244.15,264.04,299.90,318.59,348.60,388.46,461.06,536.27,855.37,368.75,196.41,235.55,278.54,311.00,301.92,322.94,370.05,432.33,498.50,737.36,451.14,267.21,299.52,306.81,352.27,395.92,400.30,483.66,524.38,582.70,896.57,-6.1,-7.1,-3.5,5.5,3.7,-5.2,-7.4,-4.7,-6.2,-7.0,-13.8,22.3,36.1,27.2,10.2,13.3,31.1,24.0,30.7,21.3,16.9,21.6
City of Pasig,379.12,206.43,248.35,295.66,305.80,338.50,366.43,383.72,467.91,486.97,690.95,317.19,206.66,227.49,250.39,267.55,286.79,305.11,304.32,360.94,380.60,580.15,425.44,242.18,278.02,320.37,332.34,378.20,402.26,444.70,436.33,509.62,908.79,-16.3,0.1,-8.4,-15.3,-12.5,-15.3,-16.7,-20.7,-22.9,-21.8,-16.0,34.1,17.2,22.2,28.0,24.2,31.9,31.8,46.1,20.9,33.9,56.7
NCR III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Caloocan,293.98,184.78,214.45,219.19,263.43,273.60,288.03,302.23,342.06,368.84,482.83,247.97,166.57,182.21,203.89,216.76,228.27,241.40,259.11,277.26,320.24,383.09,296.90,237.38,253.91,249.27,272.13,290.45,300.03,317.57,321.10,334.95,391.77,-15.7,-9.9,-15.0,-7.0,-17.7,-16.6,-16.2,-14.3,-18.9,-13.2,-20.7,19.7,42.5,39.4,22.3,25.6,27.2,24.3,22.6,15.8,4.6,2.3
City of Malabon,275.65,195.27,226.41,236.74,254.51,248.88,266.80,288.70,335.16,333.82,370.13,253.71,169.59,190.15,200.27,211.70,236.85,251.86,263.86,288.84,301.60,421.51,297.51,217.60,229.80,252.72,263.87,263.06,312.07,316.41,306.78,377.60,434.23,-8.0,-13.2,-16.0,-15.4,-16.8,-4.8,-5.6,-8.6,-13.8,-9.7,13.9,17.3,28.3,20.9,26.2,24.6,11.1,23.9,19.9,6.2,25.2,3.0
City of Navotas,264.39,176.09,196.86,219.56,240.68,257.54,258.80,298.53,282.33,315.26,397.98,233.89,171.33,186.18,200.13,211.69,208.53,238.41,242.08,264.96,269.10,345.87,275.24,221.65,228.86,266.79,249.08,261.33,272.95,287.04,286.63,329.81,347.76,-11.5,-2.7,-5.4,-8.9,-12.0,-19.0,-7.9,-18.9,-6.2,-14.6,-13.1,17.7,29.4,22.9,33.3,17.7,25.3,14.5,18.6,8.2,22.6,0.6
City of Valenzuela,296.12,205.69,236.80,236.92,270.80,272.37,310.37,296.31,318.03,353.22,460.78,279.42,182.31,206.60,219.68,246.70,250.66,261.52,308.04,330.33,383.34,403.78,305.32,234.17,241.23,251.25,288.42,300.56,317.90,312.22,344.31,337.51,425.05,-5.6,-11.4,-12.8,-7.3,-8.9,-8.0,-15.7,4.0,3.9,8.5,-12.4,9.3,28.4,16.8,14.4,16.9,19.9,21.6,1.4,4.2,-12.0,5.3
NCR IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Las Piñas,403.88,224.31,269.92,311.26,310.39,349.69,368.26,461.90,454.71,603.90,685.02,301.51,183.03,204.87,226.53,234.00,258.43,303.95,309.66,357.81,401.44,534.31,391.48,256.55,279.20,301.65,315.95,360.13,363.80,392.73,460.91,539.99,642.14,-25.4,-18.4,-24.1,-27.2,-24.6,-26.1,-17.5,-33.0,-21.3,-33.5,-22.0,29.8,40.2,36.3,33.2,35.0,39.4,19.7,26.8,28.8,34.5,20.2
City of Muntinlupa,368.49,205.69,245.00,255.23,268.32,306.30,304.76,363.98,374.74,465.94,894.78,315.87,201.15,229.00,251.40,249.28,302.81,316.41,327.60,411.76,390.34,478.34,376.15,277.93,307.58,316.92,344.28,335.46,385.71,384.36,389.80,445.92,572.59,-14.3,-2.2,-6.5,-1.5,-7.1,-1.1,3.8,-10.0,9.9,-16.2,-46.5,19.1,38.2,34.3,26.1,38.1,10.8,21.9,17.3,-5.3,14.2,19.7
City of Parañaque,406.22,213.47,242.18,289.57,301.84,333.13,350.47,390.07,461.53,664.68,813.65,377.33,199.63,227.99,261.76,264.53,294.84,303.88,358.82,410.32,500.01,944.61,384.49,263.47,283.64,280.54,319.26,332.26,343.66,391.67,387.54,495.16,746.45,-7.1,-6.5,-5.9,-9.6,-12.4,-11.5,-13.3,-8.0,-11.1,-24.8,16.1,1.9,32.0,24.4,7.2,20.7,12.7,13.1,9.2,-5.6,-1.0,-21.0
Pasay City,300.79,190.35,223.56,234.57,275.42,292.24,269.98,318.65,376.99,395.77,430.11,283.41,186.69,208.31,227.49,255.81,276.08,281.46,302.37,326.27,338.49,429.95,332.99,254.82,278.47,287.51,299.44,334.22,352.84,341.82,380.67,369.45,429.16,-5.8,-1.9,-6.8,-3.0,-7.1,-5.5,4.3,-5.1,-13.5,-14.5,0.0,17.5,36.5,33.7,26.4,17.1,21.1,25.4,13.1,16.7,9.2,-0.2
City of Makati,482.05,244.44,319.66,346.98,370.96,382.48,405.22,474.24,508.42,594.44,"1,176.81",414.46,223.06,278.58,299.33,323.48,312.04,393.85,355.28,391.47,425.05,1136.90,506.90,261.46,302.12,364.94,370.50,390.86,404.49,427.22,466.21,559.42,1517.96,-14.0,-8.8,-12.9,-13.7,-12.8,-18.4,-2.8,-25.1,-23.0,-28.5,-3.4,22.3,17.2,8.5,21.9,14.5,25.3,2.7,20.3,19.1,31.6,33.5
Pateros,365.06,200.99,235.89,284.37,346.49,356.76,364.79,383.69,466.22,443.93,566.54,276.97,179.71,220.76,219.15,245.55,279.22,271.86,312.68,295.80,347.14,395.42,363.61,233.41,270.86,276.33,318.23,366.10,362.38,374.75,419.03,479.12,532.95,-24.1,-10.6,-6.4,-22.9,-29.1,-21.7,-25.5,-18.5,-36.6,-21.8,-30.2,31.3,29.9,22.7,26.1,29.6,31.1,33.3,19.9,41.7,38.0,34.8
City of Taguig,359.99,219.22,267.48,297.85,306.81,317.04,358.52,417.01,411.87,432.21,572.82,269.35,186.52,213.08,226.50,253.45,244.85,251.48,274.81,303.68,333.97,404.20,372.21,226.21,267.75,305.13,305.80,318.59,357.91,362.74,397.35,430.55,747.50,-25.2,-14.9,-20.3,-24.0,-17.4,-22.8,-29.9,-34.1,-26.3,-22.7,-29.4,38.2,21.3,25.7,34.7,20.7,30.1,42.3,32.0,30.9,28.9,84.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR - CORDILLERA ADMINISTRATIVE REGION,230.29,121.81,136.94,152.16,160.33,174.64,204.22,238.46,275.55,344.23,494.49,242.89,134.43,156.61,169.81,186.82,198.95,219.60,240.02,276.20,331.29,514.63,247.86,165.24,187.02,198.19,209.16,217.00,242.81,261.62,284.07,306.21,407.15,5.5,10.4,14.4,11.6,16.5,13.9,7.5,0.7,0.2,-3.8,4.1,2.1,22.9,19.4,16.7,12.0,9.1,10.6,9.0,2.9,-7.6,-20.9
Abra,167.69,94.93,111.00,119.11,128.02,150.63,149.22,154.02,200.31,221.81,347.98,183.16,113.00,123.84,125.78,143.47,145.51,160.15,158.71,181.70,245.73,432.29,224.48,141.85,175.78,179.00,189.74,198.30,192.90,223.29,232.30,267.20,443.52,9.2,19.0,11.6,5.6,12.1,-3.4,7.3,3.1,-9.3,10.8,24.2,22.6,25.5,41.9,42.3,32.3,36.3,20.5,40.7,27.9,8.7,2.6
Benguet (Excluding City of Baguio),230.12,123.11,148.76,163.54,171.08,205.12,212.37,227.89,267.04,308.62,473.77,241.31,145.52,167.03,191.70,200.24,203.74,216.89,235.21,259.73,297.39,494.85,237.88,160.54,194.80,216.20,204.19,225.61,243.79,255.16,257.59,272.64,347.53,4.9,18.2,12.3,17.2,17.1,-0.7,2.1,3.2,-2.7,-3.6,4.5,-1.4,10.3,16.6,12.8,2.0,10.7,12.4,8.5,-0.8,-8.3,-29.8
City of Baguio,330.92,145.58,198.35,217.65,261.99,311.02,330.96,327.90,445.97,470.48,599.13,310.52,183.42,229.67,254.74,266.11,280.61,283.18,318.01,361.77,364.79,562.23,293.38,216.28,230.03,264.93,280.11,279.36,309.16,316.45,338.68,301.66,396.34,-6.2,26.0,15.8,17.0,1.6,-9.8,-14.4,-3.0,-18.9,-22.5,-6.2,-5.5,17.9,0.2,4.0,5.3,-0.5,9.2,-0.5,-6.4,-17.3,-29.5
Ifugao,180.62,127.60,135.65,149.81,136.29,136.84,145.38,166.73,189.66,263.57,354.91,211.21,122.48,145.64,148.41,158.59,163.60,186.95,198.69,231.33,292.84,462.51,200.69,143.19,165.37,172.53,158.03,172.51,177.92,178.77,195.87,252.48,389.38,16.9,-4.0,7.4,-0.9,16.4,19.6,28.6,19.2,22.0,11.1,30.3,-5.0,16.9,13.5,16.3,-0.4,5.5,-4.8,-10.0,-15.3,-13.8,-15.8
Kalinga,235.51,158.28,161.91,183.78,183.92,183.14,190.82,235.25,253.58,318.64,485.64,286.91,162.46,169.25,196.17,200.31,203.39,231.63,277.68,321.05,397.44,708.30,273.92,192.12,207.54,217.47,220.71,235.97,243.91,268.44,290.12,322.99,538.57,21.8,2.6,4.5,6.7,8.9,11.1,21.4,18.0,26.6,24.7,45.9,-4.5,18.3,22.6,10.9,10.2,16.0,5.3,-3.3,-9.6,-18.7,-24.0
Mountain Province,164.19,121.79,116.03,122.44,126.61,134.05,132.54,133.98,176.30,217.26,361.17,185.11,115.92,136.92,136.28,146.83,146.12,156.65,174.43,198.40,227.68,410.80,216.55,170.05,165.92,174.56,171.50,182.15,186.50,209.51,224.37,263.26,416.72,12.7,-4.8,18.0,11.3,16.0,9.0,18.2,30.2,12.5,4.8,13.7,17.0,46.7,21.2,28.1,16.8,24.7,19.1,20.1,13.1,15.6,1.4
Apayao,160.70,105.56,125.80,121.03,138.67,130.46,137.54,135.34,181.79,220.31,311.04,185.75,117.20,133.39,140.69,148.39,155.89,162.48,167.03,194.70,256.90,379.69,253.76,184.40,189.69,190.37,198.45,204.13,203.69,244.08,246.93,303.79,568.38,15.6,11.0,6.0,16.3,7.0,19.5,18.1,23.4,7.1,16.6,22.1,36.6,57.3,42.2,35.3,33.7,30.9,25.4,46.1,26.8,18.3,49.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I - ILOCOS REGION,204.50,125.31,143.88,156.84,168.88,160.02,189.78,200.06,218.00,277.27,405.04,209.54,115.35,142.14,150.25,160.09,177.26,190.24,201.53,231.59,284.04,442.71,232.44,133.97,160.46,177.66,185.43,203.47,214.85,231.43,263.58,295.94,457.41,2.5,-8.0,-1.2,-4.2,-5.2,10.8,0.2,0.7,6.2,2.4,9.3,10.9,16.1,12.9,18.2,15.8,14.8,12.9,14.8,13.8,4.2,3.3
Ilocos Norte,222.71,141.71,154.20,178.37,187.40,196.09,186.64,223.10,255.28,275.95,427.82,234.97,159.70,193.87,193.17,191.24,202.63,221.23,223.68,231.02,287.94,444.14,302.19,248.62,273.71,264.21,285.00,280.73,276.95,304.53,284.81,302.87,499.48,5.5,12.7,25.7,8.3,2.1,3.3,18.5,0.3,-9.5,4.4,3.8,28.6,55.7,41.2,36.8,49.0,38.5,25.2,36.2,23.3,5.2,12.5
Ilocos Sur,180.03,110.42,126.55,127.58,141.61,146.55,164.34,180.76,181.17,240.54,381.16,205.86,106.73,124.09,137.48,145.54,168.40,182.07,194.65,246.24,291.16,461.65,232.07,135.79,167.92,180.82,182.41,201.38,219.98,226.45,252.51,276.07,475.60,14.4,-3.3,-2.0,7.8,2.8,14.9,10.8,7.7,35.9,21.1,21.1,12.7,27.2,35.3,31.5,25.3,19.6,20.8,16.3,2.6,-5.2,3.0
La Union,218.90,127.56,141.47,162.65,170.92,180.04,202.00,215.83,222.38,302.41,463.82,226.72,113.58,140.38,158.99,158.08,180.17,211.65,221.82,259.56,337.94,483.79,259.35,134.09,163.36,183.53,190.21,202.63,246.27,250.84,293.69,361.70,565.78,3.6,-11.0,-0.8,-2.3,-7.5,0.1,4.8,2.8,16.7,11.8,4.3,14.4,18.1,16.4,15.4,20.3,12.5,16.4,13.1,13.2,7.0,17.0
Pangasinan,202.54,128.14,144.12,164.12,166.98,162.79,177.37,198.54,210.21,268.20,405.07,200.58,113.94,136.58,148.74,152.80,163.37,189.19,197.59,204.25,257.27,440.85,211.16,130.92,158.34,160.35,180.35,181.56,199.27,193.44,220.29,286.79,399.95,-1.0,-11.1,-5.2,-9.4,-8.5,0.4,6.7,-0.5,-2.8,-4.1,8.8,5.3,14.9,15.9,7.8,18.0,11.1,5.3,-2.1,7.9,11.5,-9.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II - CAGAYAN VALLEY,174.19,113.76,127.15,132.12,137.79,146.65,148.59,168.44,188.30,220.59,358.60,201.11,111.45,127.82,140.96,150.19,158.11,172.11,184.35,215.13,285.07,465.54,214.00,136.54,159.74,164.86,172.36,183.24,191.81,207.74,234.83,272.12,416.36,15.5,-2.0,0.5,6.7,9.0,7.8,15.8,9.4,14.3,29.2,29.8,6.4,22.5,25.0,17.0,14.8,15.9,11.4,12.7,9.2,-4.5,-10.6
Batanes,238.79,139.16,167.59,162.62,183.01,189.80,217.68,240.23,233.76,332.92,521.76,309.54,157.28,222.94,228.79,201.84,255.98,319.52,330.43,321.67,432.10,622.10,268.34,151.10,189.20,209.76,223.42,218.45,246.72,260.75,295.48,374.14,510.85,29.6,13.0,33.0,40.7,10.3,34.9,46.8,37.6,37.6,29.8,19.2,-13.3,-3.9,-15.1,-8.3,10.7,-14.7,-22.8,-21.1,-8.1,-13.4,-17.9
Cagayan,181.56,119.00,127.74,135.50,147.03,159.53,162.72,176.67,201.58,231.37,354.87,212.53,117.47,129.98,140.44,166.30,162.57,177.24,195.88,242.61,308.65,482.60,224.57,138.67,166.91,176.72,173.33,196.20,204.38,218.70,240.79,284.31,444.95,17.1,-1.3,1.8,3.7,13.1,1.9,8.9,10.9,20.4,33.4,36.0,5.7,18.1,28.4,25.8,4.2,20.7,15.3,11.7,-0.8,-7.9,-7.8
Isabela,160.67,109.82,127.14,127.96,130.64,134.92,134.45,150.03,168.63,197.52,325.66,188.71,103.75,125.71,135.22,138.28,153.42,162.19,166.35,192.03,258.11,451.06,202.22,133.16,157.17,157.85,167.73,175.25,180.18,195.40,221.61,264.37,368.83,17.5,-5.5,-1.1,5.7,5.9,13.7,20.6,10.9,13.9,30.7,38.5,7.2,28.3,25.0,16.7,21.3,14.2,11.1,17.5,15.4,2.4,-18.2
Nueva Vizcaya,194.70,117.17,130.74,136.64,151.44,166.90,166.97,182.68,220.56,272.37,401.55,212.19,115.62,135.26,150.88,162.16,170.84,185.76,208.21,233.14,273.30,485.85,230.68,148.25,157.71,162.22,189.14,191.70,210.12,228.72,256.01,269.58,492.83,9.0,-1.3,3.5,10.4,7.1,2.4,11.3,14.0,5.7,0.3,21.0,8.7,28.2,16.6,7.5,16.6,12.2,13.1,9.9,9.8,-1.4,1.4
Quirino,182.60,110.88,121.00,128.05,136.87,151.12,148.85,163.62,183.07,217.77,464.26,194.27,111.86,124.22,128.92,150.16,164.76,157.71,175.72,213.55,249.04,465.37,196.93,123.83,133.89,139.35,142.07,172.98,165.90,177.12,215.48,262.83,434.80,6.4,0.9,2.7,0.7,9.7,9.0,6.0,7.4,16.7,14.4,0.2,1.4,10.7,7.8,8.1,-5.4,5.0,5.2,0.8,0.9,5.5,-6.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III - CENTRAL LUZON,270.21,155.86,188.90,206.48,222.00,235.83,259.28,273.88,302.48,351.40,506.06,258.45,143.23,174.67,199.02,201.95,227.56,244.58,265.86,296.08,341.25,490.04,298.70,188.98,223.15,245.48,260.11,274.59,294.10,312.09,334.08,371.84,482.42,-4.4,-8.1,-7.5,-3.6,-9.0,-3.5,-5.7,-2.9,-2.1,-2.9,-3.2,15.6,31.9,27.8,23.4,28.8,20.7,20.3,17.4,12.8,9.0,-1.6
Aurora,224.21,141.14,154.13,176.54,162.27,173.34,181.61,181.34,252.28,309.62,509.23,226.51,122.20,142.62,156.84,171.34,178.89,193.35,227.64,249.47,297.29,524.65,234.77,137.61,161.99,167.43,164.68,188.18,190.32,195.59,251.79,302.86,586.00,1.0,-13.4,-7.5,-11.2,5.6,3.2,6.5,25.5,-1.1,-4.0,3.0,3.7,12.6,13.6,6.8,-3.9,5.2,-1.6,-14.1,0.9,1.9,11.7
Bataan,306.56,183.36,217.34,238.00,251.42,276.91,281.46,311.23,353.56,399.17,553.45,281.04,153.29,188.72,221.36,219.66,226.97,240.18,272.44,303.96,338.14,645.03,283.20,171.15,202.29,204.64,240.96,253.50,260.56,260.75,295.76,387.34,553.59,-8.3,-16.4,-13.2,-7.0,-12.6,-18.0,-14.7,-12.5,-14.0,-15.3,16.6,0.8,11.7,7.2,-7.6,9.7,11.7,8.5,-4.3,-2.7,14.6,-14.2
Bulacan,281.10,176.04,189.68,212.99,228.21,246.15,279.75,256.60,301.90,367.69,551.54,253.36,153.45,191.83,196.94,194.26,242.91,233.53,260.19,275.84,318.51,464.70,300.02,194.35,223.12,245.72,256.28,263.10,296.78,321.13,339.94,389.91,468.78,-9.9,-12.8,1.1,-7.5,-14.9,-1.3,-16.5,1.4,-8.6,-13.4,-15.7,18.4,26.7,16.3,24.8,31.9,8.3,27.1,23.4,23.2,22.4,0.9
Nueva Ecija,223.07,139.13,156.64,164.17,174.37,196.68,193.14,206.79,237.13,313.18,449.94,185.27,123.17,127.97,140.87,155.06,165.46,163.13,180.59,193.17,245.60,356.82,255.40,186.22,203.34,212.47,229.61,223.80,254.90,259.70,277.25,295.31,410.65,-16.9,-11.5,-18.3,-14.2,-11.1,-15.9,-15.5,-12.7,-18.5,-21.6,-20.7,37.9,51.2,58.9,50.8,48.1,35.3,56.3,43.8,43.5,20.2,15.1
