"city","pop2026","growthRate"
"Quezon City",2967838,0.0009774228146268715
"Davao",1952063,0.016357517210355166
"Manila",1909418,0.006393336172473507
"Caloocan City",1814693,0.012438078798303387
"Taguig City",1312651,0.04546388566768189
"Zamboanga",1116376,0.02380836653934515
"Cebu",1003705,0.007688392214423523
"Cagayan de Oro",871916,0.02341282370602693
"Pasig",860541,0.011929736264046475
"Valenzuela",842975,0.02825905577891419
"General Santos",740092,0.02012146206584764
"Paranaque",711736,0.0060797105034384735
"Makati",677655,0.013834364639561558
"Bacolod",643516,0.012409774270485174
"Las Pinas",623282,0.005173576057051266
"Lapu-Lapu",570519,0.030923047455213792
"Muntinlupa",537195,0.005723240061557222
"Angeles",528531,0.02298434548326167
"Iloilo",464198,0.003235350690834915
"Pasay City",462914,0.009646863297207542